Resource,Id,Value,DisplayName,PermissionType
Microsoft Graph,b185aa14-d8d2-42c1-a685-0f5596613624,CustomSecAttributeDefinition.Read.All,Read custom security attribute definitions,Application
Microsoft Graph,6c0257fd-cffe-415b-8239-2d0d70fdaa9c,BusinessScenarioData.Read.OwnedBy,Read data for all business scenarios this app creates or owns,Application
Microsoft Graph,f6e9e124-4586-492f-adc0-c6f96e4823fd,DelegatedAdminRelationship.Read.All,Read Delegated Admin relationships with customers,Application
Microsoft Graph,5aa33e77-b893-495e-bdc5-4bf6f27d42a0,CallDelegation.Read.All,Read delegation settings,Application
Microsoft Graph,884b599e-4d48-43a5-ba94-15c414d00588,DeviceLocalCredential.Read.All,Read device local credential passwords,Application
Microsoft Graph,db51be59-e728-414b-b800-e0f010df1a79,DeviceLocalCredential.ReadBasic.All,Read device local credential properties,Application
Microsoft Graph,7ab1d382-f21e-4acd-a863-ba3e13f7da61,Directory.Read.All,Read directory data,Application
Microsoft Graph,dbb9058a-0e50-45d7-ae91-66909b5d4664,Domain.Read.All,Read domains,Application
Microsoft Graph,7c9db06a-ec2d-4e7b-a592-5a1e30992566,EduAdministration.Read.All,Read Education app settings,Application
Microsoft Graph,edb419d6-7edc-42a3-9345-509bfdf5d87c,PrivilegedEligibilitySchedule.Read.AzureADGroup,Read eligibility schedules for access to Azure AD groups,Application
Microsoft Graph,c769435f-f061-4d0b-8ff1-3d39870e5f85,RoleManagement.Read.Exchange,Read Exchange Online RBAC configuration,Application
Microsoft Graph,01d4889c-1287-42c6-ac1f-5d1e02578ef6,Files.Read.All,Read files in all site collections,Application
Microsoft Graph,e321f0bb-e7f7-481e-bb28-e3b0b32d4bd0,IdentityProvider.Read.All,Read identity providers,Application
Microsoft Graph,cc7e7635-2586-41d6-adaa-a8d3bcad5ee5,TeamsAppInstallation.ReadForChat.All,Read installed Teams apps for all chats,Application
Microsoft Graph,0fdf35a5-82f8-41ff-9ded-0b761cc73512,TeamsAppInstallation.Read.All,Read installed Teams apps for all installation scopes,Application
Microsoft Graph,1f615aea-6bf9-4b05-84bd-46388e138537,TeamsAppInstallation.ReadForTeam.All,Read installed Teams apps for all teams,Application
Microsoft Graph,9ce09611-f4f7-4abd-a629-a05450422a97,TeamsAppInstallation.ReadForUser.All,Read installed Teams apps for all users,Application
Microsoft Graph,332a536c-c7ef-4017-ab91-336970924f0d,Sites.Read.All,Read items in all site collections ,Application
Microsoft Graph,8b7e8c0a-7e9d-4049-97ec-04b5e1bcaf05,RoleManagement.ReadWrite.Defender,Read M365 Defender RBAC configuration,Application
Microsoft Graph,4d6e30d1-e64e-4ae7-bf9d-c706cc928cef,RoleManagement.Read.Defender,Read M365 Defender RBAC configuration,Application
Microsoft Graph,810c84a8-4a9e-49e6-bf7d-12d183f40d01,Mail.Read,Read mail in all mailboxes,Application
Microsoft Graph,b48f7ac2-044d-4281-b02f-75db744d6f5f,SecurityAnalyzedMessage.Read.All,Read metadata and detection details for all emails in your organization,Application
Microsoft Graph,04c55753-2244-4c25-87fc-704ab82a4f69,SecurityAnalyzedMessage.ReadWrite.All,"Read metadata, detection details, and execute remediation actions on all emails in your organization",Application
Microsoft Graph,315b6e8c-d92a-4691-919d-00ce76d1344a,DeviceManagementCloudCA.Read.All,Read Microsoft Cloud PKI objects,Application
Microsoft Graph,7a6ee1e7-141e-4cec-ae74-d9db155731ff,DeviceManagementApps.Read.All,Read Microsoft Intune apps,Application
Microsoft Graph,06a5fe6d-c49d-46a7-b082-56b1b14103c7,DeviceManagementServiceConfig.Read.All,Read Microsoft Intune configuration,Application
Microsoft Graph,dc377aa6-52d8-4e23-b271-2a7ae04cedf3,DeviceManagementConfiguration.Read.All,Read Microsoft Intune device configuration and policies,Application
Microsoft Graph,2f51be20-0bb4-4fed-bf7b-db946066c75e,DeviceManagementManagedDevices.Read.All,Read Microsoft Intune devices,Application
